policy,sigma_km,maneuver,pair_id,rso_id,delta_v_magnitude_mps,seconds_after_burn,nis,exceeds_chi2_p99
advanced_greedy,0,nullburn,seed_037,3,0,845.7382812,6.772174402e-06,False
advanced_greedy,0,nullburn,seed_037,10,0,1296.391602,2.312021024e-05,False
advanced_greedy,0,nullburn,seed_037,21,0,2708.273682,0.0001267446933,False
advanced_greedy,0,nullburn,seed_038,28,0,993.3468628,9.779678294e-06,False
advanced_greedy,0,nullburn,seed_038,51,0,1254.737793,1.110440462e-05,False
advanced_greedy,0,nullburn,seed_038,16,0,1425.430542,2.421222052e-05,False
advanced_greedy,0,nullburn,seed_038,63,0,3461.853271,6.732886686e-05,False
advanced_greedy,0,nullburn,seed_039,69,0,332.3270569,4.292433857e-07,False
advanced_greedy,0,nullburn,seed_039,99,0,669.9052124,2.982917431e-05,False
advanced_greedy,0,nullburn,seed_039,34,0,1188.47583,8.460715435e-06,False
advanced_greedy,0,nullburn,seed_039,45,0,1803.408569,7.038990134e-06,False
advanced_greedy,0,nullburn,seed_039,79,0,2306.974121,2.146673069e-05,False
advanced_greedy,0,nullburn,seed_039,85,0,2719.227051,2.0717398e-05,False
advanced_greedy,0,nullburn,seed_039,51,0,2760.000488,9.224899986e-05,False
advanced_greedy,0,nullburn,seed_039,76,0,3117.588623,1.133000023e-05,False
advanced_greedy,0,nullburn,seed_039,31,0,3612.851807,4.00958852e-05,False
advanced_greedy,0,nullburn,seed_040,90,0,512.8555908,3.38496784e-06,False
advanced_greedy,0,nullburn,seed_040,43,0,1176.310669,5.332813998e-06,False
advanced_greedy,0,nullburn,seed_040,68,0,1325.092651,2.619956649e-05,False
advanced_greedy,0,nullburn,seed_040,19,0,1411.037598,2.133023918e-05,False
advanced_greedy,0,nullburn,seed_040,97,0,2087.134277,4.139293014e-05,False
advanced_greedy,0,nullburn,seed_041,6,0,8.180859566,4.506107416e-06,False
advanced_greedy,0,nullburn,seed_042,17,0,5.744536877,1.821973819e-05,False
advanced_greedy,0,nullburn,seed_042,88,0,473.2107849,1.273029739e-05,False
advanced_greedy,0,nullburn,seed_042,37,0,564.703186,4.942749456e-06,False
advanced_greedy,0,nullburn,seed_042,13,0,843.4295654,3.562753773e-05,False
advanced_greedy,0,nullburn,seed_042,81,0,1160.762207,7.687314064e-05,False
advanced_greedy,0,nullburn,seed_042,0,0,1325.546387,6.78141248e-07,False
advanced_greedy,0,nullburn,seed_042,56,0,1897.599365,2.430555287e-05,False
advanced_greedy,0,nullburn,seed_042,93,0,3725.11377,7.726698641e-06,False
advanced_greedy,0,nullburn,seed_042,12,0,4120.279785,3.946327706e-05,False
advanced_greedy,0,nullburn,seed_043,71,0,220.7805481,1.529377005e-05,False
advanced_greedy,0,nullburn,seed_043,96,0,702.4381104,0.0001190189287,False
advanced_greedy,0,nullburn,seed_043,67,0,1221.918579,4.302309662e-06,False
advanced_greedy,0,nullburn,seed_043,37,0,1490.332275,2.908222814e-05,False
advanced_greedy,0,nullburn,seed_043,60,0,2170.077881,1.249445359e-05,False
advanced_greedy,0,nullburn,seed_043,38,0,3038.44043,4.459523552e-05,False
advanced_greedy,0,nullburn,seed_044,22,0,79.90262604,1.238373443e-06,False
advanced_greedy,0,nullburn,seed_044,44,0,2472.980957,3.711083264e-05,False
advanced_greedy,0,nullburn,seed_044,96,0,3168.55127,8.641299792e-05,False
advanced_greedy,0,nullburn,seed_045,89,0,169.9940491,1.999558663e-05,False
advanced_greedy,0,nullburn,seed_045,72,0,211.8611908,2.440768003e-05,False
advanced_greedy,0,nullburn,seed_045,22,0,534.6199341,1.76026897e-05,False
advanced_greedy,0,nullburn,seed_045,84,0,675.3865967,6.307633885e-05,False
advanced_greedy,0,nullburn,seed_045,54,0,927.1114502,4.168141095e-05,False
advanced_greedy,0,nullburn,seed_045,38,0,1339.472046,2.665465217e-05,False
advanced_greedy,0,nullburn,seed_045,95,0,1380.282227,1.570829954e-05,False
advanced_greedy,0,nullburn,seed_045,14,0,1393.616577,3.547196002e-06,False
advanced_greedy,0,nullburn,seed_045,49,0,1443.21167,6.308537559e-05,False
advanced_greedy,0,nullburn,seed_045,92,0,1554.206299,6.297502114e-05,False
advanced_greedy,0,nullburn,seed_045,28,0,1697.116943,1.08928898e-05,False
advanced_greedy,0,nullburn,seed_046,20,0,155.6475677,5.19653031e-06,False
advanced_greedy,0,nullburn,seed_046,19,0,290.503418,3.783962893e-05,False
advanced_greedy,0,nullburn,seed_046,94,0,545.9552002,1.394189781e-06,False
advanced_greedy,0,nullburn,seed_046,29,0,1325.986206,7.021224155e-05,False
advanced_greedy,0,nullburn,seed_046,97,0,2352.317139,2.727743777e-05,False
advanced_greedy,0,nullburn,seed_046,79,0,2376.770752,0.0001599799871,False
advanced_greedy,0,nullburn,seed_047,95,0,382.0076294,1.577675175e-05,False
advanced_greedy,0,nullburn,seed_047,73,0,1005.825867,1.050571154e-05,False
advanced_greedy,0,nullburn,seed_047,29,0,1324.718628,6.431785005e-05,False
advanced_greedy,0,nullburn,seed_047,54,0,1625.030151,9.902381635e-07,False
advanced_greedy,0,nullburn,seed_047,81,0,1655.952881,3.843627928e-05,False
advanced_greedy,0,nullburn,seed_047,18,0,3298.467529,1.502420764e-05,False
advanced_greedy,0,nullburn,seed_047,79,0,3365.338867,1.341173174e-05,False
advanced_greedy,0,nullburn,seed_047,55,0,4433.373535,3.297469448e-05,False
advanced_greedy,0,nullburn,seed_048,39,0,5.221980095,8.286134801e-08,False
advanced_greedy,0,nullburn,seed_048,62,0,175.3598633,5.443832561e-05,False
advanced_greedy,0,nullburn,seed_048,65,0,2106.427979,3.040911224e-06,False
advanced_greedy,0,nullburn,seed_049,63,0,91.34889984,3.066329839e-07,False
advanced_greedy,0,nullburn,seed_049,10,0,410.0461426,1.054170752e-06,False
advanced_greedy,0,nullburn,seed_049,25,0,918.7258911,4.501967396e-06,False
advanced_greedy,0,nullburn,seed_049,28,0,1512.165771,1.676697593e-06,False
advanced_greedy,0,nullburn,seed_049,56,0,3322.627441,3.623273733e-05,False
advanced_greedy,0,nullburn,seed_050,52,0,1030.790039,3.893102621e-05,False
advanced_greedy,0,nullburn,seed_050,71,0,1559.936157,1.851597699e-05,False
advanced_greedy,0,nullburn,seed_050,55,0,1783.834473,4.139416706e-05,False
advanced_greedy,0,nullburn,seed_050,83,0,2235.660156,8.227062062e-05,False
advanced_greedy,0,nullburn,seed_050,18,0,3749.349854,6.072136603e-05,False
advanced_greedy,0,nullburn,seed_051,99,0,5.782670975,4.277892174e-07,False
advanced_greedy,0,nullburn,seed_051,59,0,822.9102173,1.901315045e-05,False
advanced_greedy,0,nullburn,seed_051,33,0,946.2368164,1.367066398e-05,False
advanced_greedy,0,nullburn,seed_051,63,0,1391.393188,6.486571692e-06,False
advanced_greedy,0,nullburn,seed_051,5,0,2231.549316,0.0001098978682,False
advanced_greedy,0,nullburn,seed_051,73,0,3132.084229,8.448940935e-05,False
advanced_greedy,0,nullburn,seed_052,56,0,7.118103981,1.11606505e-05,False
advanced_greedy,0,nullburn,seed_052,27,0,418.0259705,3.658170499e-06,False
advanced_greedy,0,nullburn,seed_052,3,0,440.8358765,7.549318252e-05,False
advanced_greedy,0,nullburn,seed_052,21,0,765.5180664,2.55630016e-06,False
advanced_greedy,0,nullburn,seed_052,92,0,1736.261108,6.292907347e-05,False
advanced_greedy,0,nullburn,seed_052,31,0,2476.804443,1.440404152e-08,False
advanced_greedy,0,nullburn,seed_053,63,0,6.454267979,6.157300163e-07,False
advanced_greedy,0,nullburn,seed_053,77,0,1137.455566,6.204051169e-05,False
advanced_greedy,0,nullburn,seed_053,82,0,1439.890015,7.169106084e-06,False
advanced_greedy,0,nullburn,seed_053,91,0,1723.915771,7.223417924e-05,False
advanced_greedy,0,nullburn,seed_053,31,0,2590.834473,7.677954272e-05,False
advanced_greedy,0,nullburn,seed_054,7,0,417.9164124,0.03659689054,False
advanced_greedy,0,nullburn,seed_054,33,0,686.2282104,2.948854853e-05,False
advanced_greedy,0,nullburn,seed_054,88,0,1807.427856,2.169386607e-05,False
advanced_greedy,0,nullburn,seed_054,75,0,1846.267456,5.894678907e-06,False
advanced_greedy,0,nullburn,seed_054,81,0,2127.261719,3.916519563e-05,False
advanced_greedy,0,nullburn,seed_054,57,0,2471.086182,8.210562373e-05,False
advanced_greedy,0,nullburn,seed_054,25,0,3027.665527,9.711363418e-06,False
